CustomerKey,MaritalStatus,Unnamed: 3,Gender,Unnamed: 5,YearlyIncome,TotalChildren,NumberChildrenAtHome,HouseOwnerFlag,NumberCarsOwned,CommuteDistance,Region,Age,BikeBuyer
11170,M,,F,,89998.22505,4,4,1,1,0-1 Miles,North America,42,0
11171,S,,M,,99998.22505,1,0,1,2,1-2 Miles,North America,42,1
11172,M,,F,,99998.22505,1,0,1,2,1-2 Miles,North America,42,0
11173,S,,F,,109998.225,0,0,0,4,0-1 Miles,North America,43,0
11174,M,,M,,109998.225,0,1,1,0,2-5 Miles,North America,43,0
11175,S,,M,,69998.22505,0,0,1,2,5-10 Miles,North America,47,1
11176,M,,M,,89998.22505,4,4,1,1,1-2 Miles,North America,42,0
11177,M,,M,,109998.225,2,4,1,2,5-10 Miles,North America,68,0
11178,M,,M,,99998.22505,2,3,1,3,1-2 Miles,North America,67,0
11179,M,,F,,119998.225,2,4,1,3,5-10 Miles,North America,67,0
11180,M,,F,,159998.225,1,3,1,4,0-1 Miles,North America,67,0
11181,M,,M,,169998.225,2,3,1,2,0-1 Miles,North America,67,0
11182,S,,F,,69998.22505,4,0,1,2,10+ Miles,North America,66,0
11183,S,,F,,69998.22505,4,0,1,2,10+ Miles,North America,66,0
11184,S,,F,,69998.22505,4,0,1,2,10+ Miles,North America,65,0
11185,S,,F,,69998.22505,4,0,1,2,10+ Miles,North America,65,0
11186,S,,F,,69998.22505,4,0,1,2,10+ Miles,North America,66,0
11187,M,,F,,59998.22505,4,0,1,2,10+ Miles,North America,66,0
11188,M,,F,,59998.22505,4,0,0,2,1-2 Miles,North America,66,0
11189,S,,M,,59998.22505,4,0,1,2,10+ Miles,North America,66,1
11190,M,,M,,69998.22505,5,0,1,2,10+ Miles,North America,66,0
11191,S,,F,,69998.22505,5,0,1,3,10+ Miles,North America,64,1
11192,M,,M,,59998.22505,4,0,1,2,2-5 Miles,North America,64,0
11193,M,,M,,59998.22505,4,0,1,2,2-5 Miles,North America,65,0
11194,M,,F,,59998.22505,4,0,1,2,2-5 Miles,North America,65,0
11195,M,,F,,59998.22505,5,0,1,3,10+ Miles,North America,64,0
11196,M,,M,,59998.22505,5,0,1,3,10+ Miles,North America,64,0
11197,M,,F,,69998.22505,3,1,0,1,1-2 Miles,North America,64,0
11198,S,,F,,69998.22505,4,1,1,1,10+ Miles,North America,63,0
11199,M,,F,,69998.22505,4,1,1,1,10+ Miles,North America,63,0
11200,M,,M,,69998.22505,4,1,1,1,1-2 Miles,North America,62,0
11201,M,,F,,69998.22505,4,1,1,1,10+ Miles,North America,63,0
11202,M,,F,,79998.22505,5,0,0,2,1-2 Miles,North America,63,0
11203,M,,M,,39998.22505,2,1,1,2,10+ Miles,North America,62,0
11204,M,,F,,39998.22505,2,1,1,2,2-5 Miles,North America,62,0
11205,M,,F,,39998.22505,2,1,1,2,10+ Miles,North America,62,0
11206,M,,M,,59998.22505,2,1,1,1,10+ Miles,North America,61,0
11207,S,,F,,59998.22505,2,1,1,1,10+ Miles,North America,62,0
11208,M,,F,,59998.22505,2,1,1,0,10+ Miles,North America,62,0
11209,M,,F,,59998.22505,2,1,1,0,10+ Miles,North America,62,0
11210,M,,M,,69998.22505,4,1,1,2,10+ Miles,North America,62,0
11211,M,,F,,39998.22505,2,1,1,2,2-5 Miles,North America,60,0
11212,M,,F,,39998.22505,2,1,1,2,2-5 Miles,North America,60,0
11213,S,,F,,59998.22505,2,1,1,2,10+ Miles,North America,61,0
11214,S,,M,,59998.22505,2,1,1,2,10+ Miles,North America,60,0
11215,M,,F,,39998.22505,2,1,1,2,10+ Miles,North America,60,0
11216,S,,F,,59998.22505,2,1,1,2,10+ Miles,North America,60,1
11217,S,,F,,59998.22505,2,1,1,2,10+ Miles,North America,60,1
11218,S,,F,,59998.22505,2,1,0,2,2-5 Miles,North America,60,0
11219,M,,M,,59998.22505,2,1,1,2,10+ Miles,North America,59,0
11220,M,,F,,59998.22505,2,1,1,1,10+ Miles,North America,60,0
11221,M,,M,,69998.22505,4,2,1,1,1-2 Miles,North America,60,0
11222,M,,F,,79998.22505,3,1,1,1,1-2 Miles,North America,60,0
11223,S,,F,,69998.22505,2,1,1,2,2-5 Miles,North America,58,0
11224,S,,F,,69998.22505,2,1,1,2,10+ Miles,North America,59,1
11225,M,,F,,59998.22505,2,1,1,1,10+ Miles,North America,59,0
11226,M,,F,,59998.22505,2,1,1,1,2-5 Miles,North America,58,0
11227,S,,M,,59998.22505,2,1,1,2,10+ Miles,North America,59,1
11228,M,,F,,59998.22505,2,1,1,2,10+ Miles,North America,59,0
11229,S,,M,,69998.22505,4,2,1,1,10+ Miles,North America,58,0
11230,M,,F,,69998.22505,4,2,0,2,2-5 Miles,North America,59,0
11231,M,,M,,59998.22505,2,1,1,2,10+ Miles,North America,57,0
11232,M,,F,,59998.22505,3,1,0,2,2-5 Miles,North America,57,0
11233,M,,M,,69998.22505,4,2,1,2,10+ Miles,North America,58,0
11234,S,,F,,69998.22505,4,2,1,2,10+ Miles,North America,57,0
11235,M,,M,,69998.22505,4,2,1,2,10+ Miles,North America,58,0
11236,S,,M,,69998.22505,5,2,1,2,10+ Miles,North America,58,0
11237,S,,M,,129998.225,2,3,0,4,0-1 Miles,Europe,51,1
11238,S,,F,,129998.225,2,3,0,4,0-1 Miles,Europe,52,1
11239,M,,F,,129998.225,2,4,0,2,5-10 Miles,Europe,51,1
11240,M,,F,,159998.225,2,3,1,4,5-10 Miles,Europe,51,1
11241,S,,F,,99998.22505,2,3,1,4,5-10 Miles,Europe,52,1
11242,M,,M,,109998.225,2,4,1,3,5-10 Miles,Europe,52,1
11243,M,,F,,149998.225,2,3,1,3,0-1 Miles,Europe,52,1
11244,S,,F,,169998.225,2,3,0,3,0-1 Miles,Europe,52,1
11245,M,,M,,119998.225,3,4,0,4,5-10 Miles,Europe,53,1
11246,M,,F,,119998.225,3,4,0,4,5-10 Miles,Europe,53,1
11247,S,,F,,129998.225,3,4,0,3,0-1 Miles,Europe,54,1
11248,M,,M,,109998.225,3,4,1,4,10+ Miles,Europe,55,0
11249,M,,F,,129998.225,3,4,1,3,0-1 Miles,Europe,55,1
11250,M,,F,,169998.225,3,4,1,2,5-10 Miles,Europe,55,1
11251,S,,M,,29998.22505,4,0,0,2,5-10 Miles,North America,78,1
11252,S,,M,,89998.22505,3,0,1,1,2-5 Miles,North America,78,1
11253,M,,M,,59998.22505,2,0,1,2,1-2 Miles,North America,77,0
11254,M,,M,,69998.22505,4,0,1,2,5-10 Miles,North America,77,0
11255,M,,M,,69998.22505,4,0,1,2,5-10 Miles,North America,77,0
11256,M,,F,,69998.22505,4,0,1,2,5-10 Miles,North America,76,0
11257,S,,F,,119998.225,1,2,1,4,2-5 Miles,North America,77,1
11258,M,,M,,119998.225,1,2,1,4,2-5 Miles,North America,77,0
11259,M,,F,,99998.22505,4,1,1,4,2-5 Miles,North America,45,1
11260,M,,F,,109998.225,2,2,1,3,2-5 Miles,North America,45,0
11261,M,,F,,129998.225,1,2,1,1,0-1 Miles,North America,45,1
11262,M,,F,,79998.22505,4,3,1,0,0-1 Miles,North America,46,0
11263,M,,F,,89998.22505,5,5,1,3,2-5 Miles,North America,46,1
11264,S,,M,,89998.22505,5,5,0,3,0-1 Miles,North America,46,1
11265,M,,F,,89998.22505,5,5,1,3,0-1 Miles,North America,46,1
11266,S,,F,,89998.22505,0,0,0,1,5-10 Miles,North America,46,1
11267,S,,M,,119998.225,4,2,1,4,2-5 Miles,North America,45,1
11268,M,,F,,129998.225,2,2,1,2,1-2 Miles,North America,46,0
11269,M,,M,,129998.225,2,2,1,2,0-1 Miles,North America,45,0
11270,M,,M,,129998.225,2,2,1,3,0-1 Miles,North America,46,1
11271,S,,F,,149998.225,2,0,0,4,1-2 Miles,North America,46,1
11272,S,,F,,69998.22505,4,3,1,0,5-10 Miles,North America,53,1
11273,M,,M,,89998.22505,2,1,1,0,10+ Miles,North America,53,0
11274,M,,M,,49998.22505,2,0,1,2,5-10 Miles,North America,76,1
11275,M,,F,,79998.22505,4,0,1,2,0-1 Miles,North America,76,1
11276,M,,F,,79998.22505,4,3,1,2,2-5 Miles,North America,46,0
11277,M,,M,,79998.22505,4,3,1,2,0-1 Miles,North America,47,0
11278,S,,M,,89998.22505,0,0,0,1,10+ Miles,North America,47,1
11279,M,,F,,89998.22505,0,0,1,1,10+ Miles,North America,47,0
11280,M,,M,,89998.22505,0,0,1,1,10+ Miles,North America,47,0
11281,S,,F,,109998.225,4,2,1,4,5-10 Miles,North America,46,1
11282,M,,M,,89998.22505,5,4,1,4,1-2 Miles,North America,48,1
11283,M,,M,,109998.225,1,3,1,2,1-2 Miles,North America,47,0
11284,M,,F,,109998.225,1,3,1,2,1-2 Miles,North America,48,0
11285,M,,M,,119998.225,1,3,0,4,2-5 Miles,North America,48,0
11286,M,,M,,169998.225,0,0,1,4,2-5 Miles,North America,48,1
11287,M,,M,,69998.22505,5,4,0,3,5-10 Miles,North America,49,0
11288,M,,F,,109998.225,1,3,1,3,2-5 Miles,North America,48,0
11289,M,,F,,129998.225,1,3,1,1,0-1 Miles,North America,49,1
11290,M,,F,,129998.225,1,3,1,3,2-5 Miles,North America,49,1
11291,M,,F,,129998.225,1,3,1,3,2-5 Miles,North America,49,1
11292,S,,M,,149998.225,1,2,0,3,0-1 Miles,North America,48,1
11293,S,,M,,59998.22505,2,0,0,2,1-2 Miles,North America,55,0
11294,M,,M,,59998.22505,2,0,0,2,1-2 Miles,North America,55,0
11295,S,,F,,79998.22505,2,0,1,2,5-10 Miles,North America,56,1
11296,S,,F,,49998.22505,2,0,1,2,5-10 Miles,North America,74,1
11297,S,,M,,69998.22505,4,0,1,2,5-10 Miles,North America,75,1
11298,M,,M,,69998.22505,4,0,1,2,1-2 Miles,North America,75,1
11299,M,,M,,69998.22505,4,0,1,2,1-2 Miles,North America,74,1
11300,M,,M,,79998.22505,5,4,0,3,1-2 Miles,North America,50,0
11301,M,,M,,79998.22505,5,4,1,4,5-10 Miles,North America,50,0
11302,S,,M,,89998.22505,4,3,0,3,1-2 Miles,North America,49,1
11303,S,,F,,89998.22505,4,3,0,3,1-2 Miles,North America,49,1
11304,M,,F,,99998.22505,0,3,1,0,5-10 Miles,North America,50,0
11305,M,,M,,109998.225,3,3,0,4,2-5 Miles,North America,50,0
11306,M,,M,,109998.225,3,3,0,4,2-5 Miles,North America,50,0
11307,M,,M,,79998.22505,2,0,1,2,5-10 Miles,North America,55,1
11308,M,,M,,59998.22505,2,0,0,2,1-2 Miles,North America,56,0
11309,S,,F,,59998.22505,2,0,1,2,5-10 Miles,North America,56,0
11310,S,,F,,69998.22505,3,0,1,2,5-10 Miles,North America,57,0
11311,S,,F,,69998.22505,3,0,0,2,1-2 Miles,North America,57,0
11312,S,,F,,69998.22505,3,0,1,2,5-10 Miles,North America,57,0
11313,S,,M,,69998.22505,3,0,1,2,5-10 Miles,North America,57,0
11314,S,,F,,69998.22505,3,0,0,2,1-2 Miles,North America,56,0
11315,S,,F,,69998.22505,3,0,0,2,1-2 Miles,North America,56,0
11316,M,,M,,59998.22505,3,0,1,2,5-10 Miles,North America,56,1
11317,S,,F,,39998.22505,3,0,0,2,5-10 Miles,North America,57,1
11318,S,,F,,39998.22505,3,0,0,2,1-2 Miles,North America,57,0
11319,M,,F,,69998.22505,4,0,0,2,1-2 Miles,North America,73,1
11320,M,,F,,79998.22505,4,0,1,2,5-10 Miles,North America,73,0
11321,M,,M,,89998.22505,5,0,1,2,5-10 Miles,North America,72,0
11322,M,,F,,89998.22505,5,0,1,2,5-10 Miles,North America,72,0
11323,S,,M,,119998.225,2,4,1,3,5-10 Miles,North America,72,1
11324,M,,M,,89998.22505,5,0,1,2,1-2 Miles,North America,71,1
11325,S,,M,,89998.22505,5,0,1,2,5-10 Miles,North America,71,1
11326,M,,M,,129998.225,2,3,1,4,0-1 Miles,North America,71,1
11327,M,,M,,89998.22505,5,0,1,2,5-10 Miles,North America,70,1
11328,M,,M,,89998.22505,5,0,1,2,5-10 Miles,North America,70,1
11329,S,,M,,89998.22505,5,0,1,2,5-10 Miles,North America,70,1
11330,M,,M,,109998.225,2,4,1,1,2-5 Miles,North America,70,0
11331,M,,F,,89998.22505,4,4,1,2,1-2 Miles,North America,42,0
11332,S,,F,,9998.225049,1,0,1,0,0-1 Miles,Europe,47,1
11333,M,,F,,19998.22505,1,0,1,0,0-1 Miles,Europe,48,1
11334,M,,F,,9998.225049,1,0,1,0,0-1 Miles,Europe,49,1
11335,M,,F,,9998.225049,1,0,1,0,0-1 Miles,Europe,49,1
11336,M,,M,,19998.22505,1,0,1,0,0-1 Miles,Europe,48,1
11337,M,,M,,9998.225049,1,0,1,0,0-1 Miles,Europe,48,1
11338,M,,M,,19998.22505,1,0,1,0,0-1 Miles,Europe,49,1
11339,S,,M,,19998.22505,1,0,1,0,0-1 Miles,Europe,49,1
11340,M,,F,,9998.225049,1,0,1,0,0-1 Miles,Europe,74,1
11341,M,,M,,19998.22505,1,0,1,0,0-1 Miles,Europe,74,1
11342,M,,M,,29998.22505,5,0,1,0,0-1 Miles,Europe,48,0
11343,M,,M,,9998.225049,1,0,1,0,0-1 Miles,Europe,51,1
11344,M,,F,,9998.225049,1,0,1,0,0-1 Miles,Europe,53,1
11345,S,,F,,9998.225049,1,0,1,0,0-1 Miles,Europe,53,1
11346,S,,F,,9998.225049,2,0,1,1,0-1 Miles,Europe,55,1
11347,M,,M,,9998.225049,2,0,1,1,0-1 Miles,Europe,54,0
11348,M,,M,,9998.225049,2,0,1,1,0-1 Miles,Europe,54,0
11349,M,,F,,9998.225049,2,0,1,1,2-5 Miles,Europe,56,0
11350,M,,F,,29998.22505,1,0,1,0,0-1 Miles,Europe,73,0
11351,S,,F,,19998.22505,1,0,1,0,0-1 Miles,Europe,71,1
11352,M,,M,,9998.225049,2,0,1,1,0-1 Miles,Europe,70,0
11353,S,,F,,29998.22505,1,0,1,0,0-1 Miles,Europe,69,1
11354,M,,F,,19998.22505,1,0,1,0,0-1 Miles,Europe,68,0
11355,M,,M,,39998.22505,1,0,1,0,0-1 Miles,Europe,67,0
11356,S,,M,,9998.225049,0,0,0,1,2-5 Miles,Pacific,30,1
11357,S,,M,,9998.225049,0,0,0,1,2-5 Miles,Pacific,31,1
11358,S,,F,,9998.225049,0,0,0,1,0-1 Miles,Pacific,31,1
